2015,01,10,14,15,10,0660,PROCESS_MODLOAD,628,,\Windows\Microsoft.NET\Framework\v2.0.50727\Culture.dll,,,,,,,
2015,01,10,14,15,10,0675,PROCESS_MODLOAD,628,,\Windows\winsxs\x86_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_41e6975e2bd6f2b2\comctl32.dll,,,,,,,
2015,01,10,14,15,10,0691,PROCESS_LAUNCH,4564,2620,\??\C:\Windows\system32\SearchProtocolHost.exe,"C:\Windows\system32\SearchProtocolHost.exe" Global\UsGthrFltPipeMssGthrPipe68_ Global\UsGthrCtrlFltPipeMssGthrPipe68 1 -2147483646 "Software\Microsoft\Windows Search" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT; MS Search 4.0 Robot)" "C:\ProgramData\Microsoft\Search\Data\Temp\usgthrsvc" "DownLevelDaemon" ,,,,,
2015,01,10,14,15,10,0691,PROCESS_MODLOAD,2620,,\Windows\System32\SearchProtocolHost.exe,,,,,,,
2015,01,10,14,15,10,0691,PROCESS_MODLOAD,4564,,\Device\HarddiskVolume2\Windows\System32\SearchProtocolHost.exe,,,,,,,
2015,01,10,14,15,10,0691,PROCESS_MODLOAD,4564,,\SystemRoot\System32\ntdll.dll,,,,,,,
2015,01,10,14,15,10,0691,PROCESS_MODLOAD,4564,,\Windows\System32\kernel32.dll,,,,,,,
2015,01,10,14,15,10,0691,PROCESS_MODLOAD,4564,,\Windows\System32\KernelBase.dll,,,,,,,
2015,01,10,14,15,10,0691,PROCESS_MODLOAD,4564,,\Windows\System32\advapi32.dll,,,,,,,
2015,01,10,14,15,10,0691,PROCESS_MODLOAD,4564,,\Windows\System32\msvcrt.dll,,,,,,,
2015,01,10,14,15,10,0691,PROCESS_MODLOAD,4564,,\Windows\System32\sechost.dll,,,,,,,
2015,01,10,14,15,10,0691,PROCESS_LAUNCH,3064,628,\??\C:\Windows\SysWOW64\netsh.exe,netsh firewall set opmode mode=disable,,,,,
2015,01,10,14,15,10,0691,PROCESS_MODLOAD,4564,,\Windows\System32\rpcrt4.dll,,,,,,,
2015,01,10,14,15,10,0691,PROCESS_MODLOAD,628,,\Windows\SysWOW64\netsh.exe,,,,,,,
2015,01,10,14,15,10,0691,PROCESS_MODLOAD,4564,,\Windows\System32\user32.dll,,,,,,,
2015,01,10,14,15,10,0691,PROCESS_MODLOAD,4564,,\Windows\System32\gdi32.dll,,,,,,,
2015,01,10,14,15,10,0691,PROCESS_MODLOAD,4564,,\Windows\System32\lpk.dll,,,,,,,
2015,01,10,14,15,10,0691,PROCESS_MODLOAD,4564,,\Windows\System32\usp10.dll,,,,,,,
2015,01,10,14,15,10,0691,PROCESS_MODLOAD,4564,,\Windows\System32\ole32.dll,,,,,,,
2015,01,10,14,15,10,0691,PROCESS_MODLOAD,4564,,\Windows\System32\oleaut32.dll,,,,,,,
2015,01,10,14,15,10,0691,PROCESS_MODLOAD,4564,,\Windows\System32\tquery.dll,,,,,,,
2015,01,10,14,15,10,0691,PROCESS_MODLOAD,4564,,\Windows\System32\shlwapi.dll,,,,,,,
2015,01,10,14,15,10,0691,PROCESS_MODLOAD,4564,,\Windows\System32\msshooks.dll,,,,,,,
2015,01,10,14,15,10,0691,PROCESS_MODLOAD,4564,,\Windows\System32\imm32.dll,,,,,,,
2015,01,10,14,15,10,0691,PROCESS_MODLOAD,4564,,\Windows\System32\msctf.dll,,,,,,,
2015,01,10,14,15,10,0707,PROCESS_MODLOAD,3064,,\Device\HarddiskVolume2\Windows\SysWOW64\netsh.exe,,,,,,,
2015,01,10,14,15,10,0707,PROCESS_MODLOAD,3064,,\SystemRoot\System32\ntdll.dll,,,,,,,
2015,01,10,14,15,10,0707,PROCESS_MODLOAD,3064,,\SystemRoot\SysWOW64\ntdll.dll,,,,,,,
2015,01,10,14,15,10,0707,PROCESS_MODLOAD,3064,,\Windows\System32\wow64.dll,,,,,,,
2015,01,10,14,15,10,0707,PROCESS_MODLOAD,3064,,\Windows\System32\wow64win.dll,,,,,,,
2015,01,10,14,15,10,0707,PROCESS_LAUNCH,1064,628,\??\C:\Windows\SysWOW64\net.exe,net stop wuauserv,,,,,
2015,01,10,14,15,10,0707,PROCESS_MODLOAD,628,,\Windows\SysWOW64\net.exe,,,,,,,
2015,01,10,14,15,10,0707,PROCESS_MODLOAD,3064,,\Windows\System32\wow64cpu.dll,,,,,,,
2015,01,10,14,15,10,0707,PROCESS_MODLOAD,3064,,\Windows\System32\kernel32.dll,,,,,,,
2015,01,10,14,15,10,0707,PROCESS_MODLOAD,3064,,\Windows\SysWOW64\kernel32.dll,,,,,,,
2015,01,10,14,15,10,0707,PROCESS_MODLOAD,3064,,\Windows\System32\kernel32.dll,,,,,,,
2015,01,10,14,15,10,0707,PROCESS_MODLOAD,3064,,\Windows\System32\user32.dll,,,,,,,
2015,01,10,14,15,10,0707,PROCESS_MODLOAD,3064,,\Windows\SysWOW64\kernel32.dll,,,,,,,
2015,01,10,14,15,10,0707,PROCESS_MODLOAD,3064,,\Windows\SysWOW64\KernelBase.dll,,,,,,,
2015,01,10,14,15,10,0707,PROCESS_MODLOAD,4564,,\Windows\System32\cryptbase.dll,,,,,,,
2015,01,10,14,15,10,0707,PROCESS_MODLOAD,4564,,\Windows\System32\msidle.dll,,,,,,,
2015,01,10,14,15,10,0707,PROCESS_LAUNCH,4888,428,\??\C:\Windows\system32\conhost.exe,\??\C:\Windows\system32\conhost.exe "-18599097-198403233619906347387345806222738357590339089-108288511462057209",,,,,
2015,01,10,14,15,10,0707,PROCESS_MODLOAD,4888,,\Device\HarddiskVolume2\Windows\System32\conhost.exe,,,,,,,
2015,01,10,14,15,10,0707,PROCESS_MODLOAD,4888,,\SystemRoot\System32\ntdll.dll,,,,,,,
2015,01,10,14,15,10,0707,PROCESS_MODLOAD,4888,,\Windows\System32\kernel32.dll,,,,,,,
2015,01,10,14,15,10,0707,PROCESS_MODLOAD,4888,,\Windows\System32\KernelBase.dll,,,,,,,
2015,01,10,14,15,10,0707,PROCESS_MODLOAD,4888,,\Windows\System32\gdi32.dll,,,,,,,
2015,01,10,14,15,10,0707,PROCESS_MODLOAD,4888,,\Windows\System32\user32.dll,,,,,,,
2015,01,10,14,15,10,0707,PROCESS_MODLOAD,4888,,\Windows\System32\lpk.dll,,,,,,,
2015,01,10,14,15,10,0707,PROCESS_MODLOAD,4888,,\Windows\System32\usp10.dll,,,,,,,
2015,01,10,14,15,10,0707,PROCESS_MODLOAD,4888,,\Windows\System32\msvcrt.dll,,,,,,,
2015,01,10,14,15,10,0707,PROCESS_MODLOAD,4888,,\Windows\System32\imm32.dll,,,,,,,
2015,01,10,14,15,10,0707,PROCESS_MODLOAD,4888,,\Windows\System32\msctf.dll,,,,,,,
2015,01,10,14,15,10,0707,PROCESS_MODLOAD,4888,,\Windows\System32\ole32.dll,,,,,,,
2015,01,10,14,15,10,0707,PROCESS_MODLOAD,1064,,\Device\HarddiskVolume2\Windows\SysWOW64\net.exe,,,,,,,
