DATE,TYPE,PID,PARENT,PATH,CMDLINE,SRCIP,SRCPORT,DSTIP,DSTPORT,NETTYPE
02\12\2014-02:42:16:404, PROCESS_MODLOAD,1808,,\Windows\System32\api-ms-win-downlevel-advapi32-l2-1-0.dll,,,,,,
02\12\2014-02:42:16:405, PROCESS_MODLOAD,1808,,\Windows\System32\api-ms-win-downlevel-shlwapi-l2-1-0.dll,,,,,,
02\12\2014-02:42:16:405, PROCESS_MODLOAD,1808,,\Windows\System32\profapi.dll,,,,,,
02\12\2014-02:42:16:406, PROCESS_MODLOAD,1808,,\Windows\System32\secur32.dll,,,,,,
02\12\2014-02:42:16:406, PROCESS_MODLOAD,1808,,\Windows\System32\sspicli.dll,,,,,,
02\12\2014-02:42:16:407, PROCESS_MODLOAD,1808,,\Windows\System32\ws2_32.dll,,,,,,
02\12\2014-02:42:16:407, PROCESS_MODLOAD,1808,,\Windows\System32\nsi.dll,,,,,,
02\12\2014-02:42:16:408, PROCESS_MODLOAD,1808,,\Windows\System32\winhttp.dll,,,,,,
02\12\2014-02:42:16:408, PROCESS_MODLOAD,1808,,\Windows\System32\webio.dll,,,,,,
02\12\2014-02:42:16:409, PROCESS_MODLOAD,1808,,\Windows\System32\mswsock.dll,,,,,,
02\12\2014-02:42:16:409, PROCESS_MODLOAD,1808,,\Windows\System32\wship6.dll,,,,,,
02\12\2014-02:42:16:409, PROCESS_MODLOAD,1808,,\Windows\System32\IPHLPAPI.DLL,,,,,,
02\12\2014-02:42:16:409, PROCESS_MODLOAD,1808,,\Windows\System32\winnsi.dll,,,,,,
02\12\2014-02:42:16:409, PROCESS_MODLOAD,1808,,\Windows\System32\clbcatq.dll,,,,,,
02\12\2014-02:42:16:410, PROCESS_MODLOAD,1808,,\Windows\System32\netprofm.dll,,,,,,
02\12\2014-02:42:16:410, PROCESS_MODLOAD,1808,,\Windows\System32\nlaapi.dll,,,,,,
02\12\2014-02:42:16:411, PROCESS_MODLOAD,1808,,\Windows\System32\cryptsp.dll,,,,,,
02\12\2014-02:42:16:413, PROCESS_MODLOAD,1808,,\Windows\System32\rsaenh.dll,,,,,,
02\12\2014-02:42:16:414, PROCESS_MODLOAD,1808,,\Windows\System32\RpcRtRemote.dll,,,,,,
02\12\2014-02:42:16:416, PROCESS_MODLOAD,1808,,\Windows\System32\npmproxy.dll,,,,,,
02\12\2014-02:42:16:419, PROCESS_MODLOAD,1808,,\Windows\System32\WSHTCPIP.DLL,,,,,,
02\12\2014-02:42:16:419, PROCESS_MODLOAD,1808,,\Windows\System32\dnsapi.dll,,,,,,
02\12\2014-02:42:16:419, PROCESS_MODLOAD,1808,,\Windows\System32\rasadhlp.dll,,,,,,
02\12\2014-02:42:16:419, PROCESS_MODLOAD,1808,,\Windows\System32\FWPUCLNT.DLL,,,,,,
02\12\2014-02:42:16:422, PROCESS_MODLOAD,1808,,\Program Files\Internet Explorer\ieproxy.dll,,,,,,
02\12\2014-02:42:16:432, PROCESS_LAUNCH,1116,1808,\??\C:\Program Files (x86)\Internet Explorer\IEXPLORE.EXE,C:\Program Files (x86)\Internet Explorer\IEXPLORE.EXE SCODEF:1808 CREDAT:267521 /prefetch:2,,,,,
02\12\2014-02:42:16:433, PROCESS_MODLOAD,1808,,\Windows\System32\apphelp.dll,,,,,,
02\12\2014-02:42:16:433, PROCESS_MODLOAD,1116,,\Device\HarddiskVolume2\Program Files (x86)\Internet Explorer\iexplore.exe,,,,,,
02\12\2014-02:42:16:433, PROCESS_MODLOAD,1116,,\SystemRoot\System32\ntdll.dll,,,,,,
02\12\2014-02:42:16:433, PROCESS_MODLOAD,1116,,\SystemRoot\SysWOW64\ntdll.dll,,,,,,
02\12\2014-02:42:16:435, PROCESS_MODLOAD,1808,,\Windows\System32\ieui.dll,,,,,,
02\12\2014-02:42:16:445, PROCESS_MODLOAD,1808,,\Windows\System32\WindowsCodecs.dll,,,,,,
02\12\2014-02:42:16:446, PROCESS_MODLOAD,1808,,\Windows\System32\oleacc.dll,,,,,,
02\12\2014-02:42:16:460, PROCESS_MODLOAD,1808,,\Windows\System32\ExplorerFrame.dll,,,,,,
